NO. 557	(1,1,1,13,24)
NO. 558	(0,2,1,14,25)
NO. 559	(0,2,1,15,25)
NO. 560	(0,1,1,14,26)
NO. 561	(1,1,1,13,23)
NO. 562	(0,2,1,14,24)
NO. 563	(0,2,1,14,24)
NO. 564	(0,1,1,14,25)
NO. 565	(1,1,1,13,24)
NO. 566	(0,2,1,14,25)
NO. 567	(0,2,1,15,25)
NO. 568	(0,1,1,14,26)
NO. 569	(1,1,1,11,24)
NO. 570	(0,2,1,13,25)
NO. 571	(0,2,1,12,25)
NO. 572	(0,1,1,13,26)
NO. 573	(1,1,1,12,25)
NO. 574	(0,2,1,13,26)
NO. 575	(0,2,1,14,26)
NO. 576	(0,1,1,15,27)
NO. 577	(1,1,1,14,22)
NO. 578	(0,2,1,15,23)
NO. 579	(0,2,1,16,23)
NO. 580	(0,1,1,16,24)
NO. 581	(1,1,1,14,23)
NO. 582	(0,2,1,15,24)
NO. 583	(0,2,1,16,24)
NO. 584	(0,1,1,15,25)
NO. 585	(1,1,1,15,23)
NO. 586	(0,2,1,16,24)
NO. 587	(0,2,1,17,24)
NO. 588	(0,1,1,17,25)
NO. 589	(1,1,1,16,24)
NO. 590	(0,2,1,17,25)
NO. 591	(0,2,1,17,25)
NO. 592	(0,1,1,17,26)
NO. 593	(1,1,1,15,23)
NO. 594	(0,2,1,16,24)
NO. 595	(0,2,1,17,24)
NO. 596	(0,1,1,17,25)
NO. 597	(1,1,1,16,24)
NO. 598	(0,2,1,17,25)
NO. 599	(0,2,1,17,25)
NO. 600	(0,1,1,17,26)
NO. 601	(1,1,1,14,24)
NO. 602	(0,2,1,15,25)
NO. 603	(0,2,1,15,25)
NO. 604	(0,1,1,16,26)
NO. 605	(1,1,1,15,25)
NO. 606	(0,2,1,16,26)
NO. 607	(0,2,1,16,26)
NO. 608	(0,1,1,16,27)
NO. 609	(1,1,1,14,23)
NO. 610	(0,2,1,15,24)
NO. 611	(0,2,1,15,24)
NO. 612	(0,1,1,15,25)
NO. 613	(1,1,1,15,24)
NO. 614	(0,2,1,15,25)
NO. 615	(0,2,1,16,25)
NO. 616	(0,1,1,15,26)
NO. 617	(1,1,1,15,24)
NO. 618	(0,2,1,16,25)
NO. 619	(0,2,1,16,25)
NO. 620	(0,1,1,16,26)
NO. 621	(1,1,1,16,25)
NO. 622	(0,2,1,16,26)
NO. 623	(0,2,1,17,26)
NO. 624	(0,1,1,16,27)
